,id,host_id,host_name,room_type,disctricts,neighbourhoods,price,number_of_reviews,latitude,longitude,monument
3909,13185158,11872121,Iryna,Entire home/apt,Centro,Embajadores,95,217,40.40907,-3.69921,Paseo del Prado
3910,13186430,1303366,Maria Jose,Entire home/apt,Centro,Embajadores,70,31,40.40865,-3.70222,Barrio de Las Letras
3911,13190733,40877988,Eduardo Y Raul,Entire home/apt,Centro,Sol,80,165,40.4144,-3.70603,Plaza Mayor
3912,13195853,3566146,Home Club Premium,Entire home/apt,Centro,Universidad,153,4,40.42423,-3.71023,Museo Cerralbo
3913,13196605,70357153,Natalia,Entire home/apt,Centro,Palacio,55,157,40.4109,-3.7109,Cripta de la Almudena
3914,13197420,73908972,Alicia,Entire home/apt,Centro,Palacio,80,1,40.40803,-3.71453,Cripta de la Almudena
3915,13198651,73921288,Blanca,Entire home/apt,Centro,Cortes,95,114,40.41144,-3.69469,Paseo del Prado
3916,13199475,23490982,Cristina,Entire home/apt,Centro,Palacio,249,113,40.41844,-3.71142,Plaza de Oriente
3917,13201045,57018202,Paloma,Private room,Arganzuela,Delicias,39,15,40.39987,-3.69802,Paseo del Prado
3918,13207318,23442550,GermÃ¡n,Entire home/apt,Centro,Universidad,109,0,40.42305,-3.70951,Gran Vía
3919,13217416,5542111,Melvin Enrique,Entire home/apt,Centro,Palacio,48,174,40.42227,-3.71015,Gran Vía
3920,13219456,67921162,Roma,Private room,Arganzuela,Atocha,35,40,40.40725,-3.69287,Paseo del Prado
