id,host_id,host_name,room_type,disctricts,neighbourhoods,price,number_of_reviews,latitude,longitude
17891928,1771095,Hans,Entire home/apt,Centro,Justicia,62,32,40.42422,-3.69884
17892372,51674218,Pablo,Entire home/apt,Latina,Lucero,45,29,40.40854,-3.74324
17897946,122624585,Jose Miguel,Entire home/apt,Chamberí,Almagro,85,78,40.43567,-3.69113
17898979,2711109,Yolanda ... /Alrezkate S.L,Entire home/apt,Centro,Palacio,90,8,40.41994,-3.70882
17900282,122388260,Veronica,Entire home/apt,Latina,Puerta del Angel,41,33,40.40465,-3.73948
17901250,51736845,Daniel,Entire home/apt,Chamberí,Rios Rosas,53,71,40.43905,-3.69451
17901271,57842730,Bill,Entire home/apt,Centro,Universidad,103,28,40.42723,-3.70411
17903295,82262464,Mario,Entire home/apt,Centro,Justicia,50,15,40.41987,-3.69956
17903468,93869694,Elizabeht & Licett,Entire home/apt,Centro,Cortes,55,176,40.41547,-3.70033
17903615,122684529,Lucia,Private room,Centro,Palacio,52,4,40.41161,-3.70906
17903863,29939898,RubÃ©n,Entire home/apt,Centro,Universidad,98,73,40.42508,-3.70098
17904831,62738396,Adri,Entire home/apt,Tetuán,Berruguete,70,91,40.45898,-3.71011
17912044,26255620,Carretas Apartments,Entire home/apt,Centro,Sol,154,1,40.41453,-3.70394
17912312,113772916,MaÃ«liss,Entire home/apt,Chamberí,Gaztambide,85,43,40.43317,-3.7137
17913606,723539,Eloisa,Entire home/apt,Centro,Embajadores,75,13,40.40746,-3.70087
17913623,26255620,Carretas Apartments,Entire home/apt,Centro,Sol,154,0,40.41468,-3.70407
17914266,36433297,JesÃºs And Sara,Entire home/apt,Retiro,Ibiza,74,180,40.42034,-3.67811
17914341,4316644,Andres,Private room,Tetuán,Berruguete,15,0,40.46032,-3.70058
17914433,26255620,Carretas Apartments,Entire home/apt,Centro,Sol,121,0,40.41549,-3.70339
17914512,122804913,Jose,Entire home/apt,Tetuán,Cuatro Caminos,90,65,40.44727,-3.69751
17914742,26255620,Carretas Apartments,Entire home/apt,Centro,Sol,121,0,40.41552,-3.70266
17916752,122824273,Babile GestiÃ³n,Entire home/apt,Moncloa - Aravaca,Argüelles,75,64,40.42543,-3.71446
